brand,model,engine_cc,age_months,km_driven,owners,condition,launch_price,price
Honda,Hornet 2.0,184,2,1097,1,Excellent,138120,134538
Bajaj,Pulsar NS200,199,95,65170,2,Fair,135820,27046
KTM,390 Duke,399,36,30779,1,Good,281820,137596
TVS,Sport,109,17,17320,1,Excellent,109620,84537
Hero,Passion Pro,110,94,73020,2,Fair,99800,19555
Royal Enfield,Classic 350,349,69,57229,1,Good,242820,59461
TVS,Apache RTR 200 4V,197,65,53550,1,Good,125460,30949
KTM,RC 200,199,61,60917,2,Fair,245820,49376
Bajaj,Dominar 400,373,80,99744,1,Fair,167140,32911
TVS,Apache RTR 200 4V,197,24,19391,1,Good,125460,78450
Hero,Splendor Plus,97,1,1184,3,Excellent,97460,83594
TVS,Apache RTR 160,159,9,5241,1,Excellent,118620,104810
TVS,Sport,109,72,44579,2,Fair,109620,22745
TVS,Apache RTR 160,159,76,80354,1,Fair,118620,24351
Bajaj,Pulsar NS200,199,81,99201,1,Poor,135820,22759
KTM,RC 200,199,29,30293,1,Good,245820,137897
Bajaj,Dominar 400,373,91,107571,2,Fair,167140,30405
Honda,Hornet 2.0,184,70,67089,1,Good,138120,33153
Royal Enfield,Himalayan,452,61,75166,1,Fair,261360,54239
Royal Enfield,Hunter 350,349,10,8223,1,Excellent,242820,210518
Hero,Passion Pro,110,9,4667,2,Excellent,99800,82977
BMW,G 310 R,313,11,10381,4,Excellent,406340,269967
Honda,Shine,123,55,63394,1,Fair,127140,30635
Bajaj,Pulsar 125,125,8,5885,3,Excellent,122500,95323
TVS,Radeon,109,42,52450,1,Good,109620,44806
BMW,G 310 R,313,88,90540,2,Fair,406340,76730
KTM,390 Duke,399,2,2426,2,Excellent,281820,257423
BMW,G 310 R,313,75,88718,1,Fair,406340,81948
Suzuki,Gixxer,155,77,68152,1,Fair,132900,27983
Hero,HF Deluxe,97,25,12817,2,Good,97460,57010
Bajaj,Pulsar 150,149,72,76073,1,Fair,126820,26269
KTM,390 Duke,399,20,18795,3,Good,281820,163832
Bajaj,Pulsar NS200,199,35,38391,1,Good,135820,66732
Royal Enfield,Hunter 350,349,3,3241,4,Good,242820,165179
Yamaha,MT-15,155,76,62728,2,Poor,142900,24308
Hero,HF Deluxe,97,36,21938,2,Excellent,97460,49981
Hero,HF Deluxe,97,46,37255,3,Good,97460,32249
Bajaj,Pulsar 150,149,73,71310,1,Poor,126820,22550
KTM,RC 200,199,2,1646,3,Excellent,245820,208112
TVS,Apache RTR 160,159,15,10477,1,Excellent,118620,95434
Triumph,Speed 400,398,10,7918,3,Good,311640,214023
Bajaj,Pulsar 125,125,75,37676,2,Fair,122500,25761
KTM,RC 200,199,93,51647,2,Fair,245820,50301
TVS,Apache RTR 200 4V,197,73,41833,3,Fair,125460,24223
KTM,Duke 250,249,32,27933,1,Fair,254820,119261
KTM,Duke 200,199,37,29656,2,Good,245820,110671
Honda,Shine,123,81,79681,3,Poor,127140,19328
TVS,Sport,109,80,65456,2,Fair,109620,21816
Honda,SP 125,124,7,4473,2,Good,127320,98957
Yamaha,MT-15,155,46,37800,4,Fair,142900,37229
Royal Enfield,Hunter 350,349,96,66911,1,Fair,242820,51257
Triumph,Speed 400,398,95,87013,1,Fair,311640,63079
BMW,G 310 R,313,70,51043,2,Fair,406340,83247
TVS,Apache RTR 160,159,8,5659,2,Excellent,118620,99771
Hero,Splendor Plus,97,92,95684,2,Poor,97460,15470
TVS,Apache RTR 200 4V,197,64,45036,1,Good,125460,31474
Hero,Passion Pro,110,51,55267,2,Fair,99800,26222
Bajaj,Dominar 400,373,59,36640,1,Fair,167140,37468
Honda,Shine,123,10,5734,1,Excellent,127140,110728
Royal Enfield,Meteor 350,349,96,51302,4,Fair,242820,41258
Hero,Splendor Plus,97,77,76555,1,Fair,97460,20167
Royal Enfield,Himalayan,452,33,23486,3,Excellent,261360,131533
Honda,SP 125,124,17,18222,2,Excellent,127320,92141
Bajaj,Pulsar NS200,199,11,11028,1,Good,135820,105151
Yamaha,FZ-FI,149,48,54112,2,Excellent,141820,51018
Royal Enfield,Meteor 350,349,75,72186,1,Fair,242820,50704
TVS,Sport,109,19,19106,1,Excellent,109620,81716
Suzuki,Gixxer,155,61,46316,2,Fair,132900,27482
Bajaj,Pulsar NS200,199,34,25867,2,Good,135820,65576
Royal Enfield,Meteor 350,349,1,1000,1,Good,242820,217921
BMW,G 310 R,313,16,15404,2,Good,406340,273060
Bajaj,Pulsar NS200,199,80,80343,2,Fair,135820,26209
Honda,SP 125,124,1,1000,1,Excellent,127320,125565
Suzuki,Gixxer,155,8,5742,1,Good,132900,108198
Royal Enfield,Himalayan,452,45,39036,2,Good,261360,95614
KTM,RC 200,199,1,1000,1,Excellent,245820,242432
Honda,Shine,123,45,40293,1,Excellent,127140,54242
Yamaha,R15 V4,155,40,43450,2,Good,142900,58591
Honda,Hornet 2.0,184,53,36752,1,Good,138120,42724
TVS,Apache RTR 160,159,52,50242,2,Fair,118620,30506
Bajaj,Dominar 400,373,32,21080,1,Excellent,167140,99051
Bajaj,Pulsar NS200,199,46,50227,1,Fair,135820,44276
BMW,G 310 R,313,72,54146,4,Fair,406340,68653
BMW,G 310 R,313,76,73315,1,Fair,406340,84651
KTM,390 Duke,399,37,43925,2,Good,281820,123436
Royal Enfield,Meteor 350,349,6,5390,2,Excellent,242820,209761
BMW,G 310 R,313,85,50748,4,Fair,406340,69118
Yamaha,MT-15,155,59,42164,2,Fair,142900,29791
KTM,RC 200,199,60,55881,1,Fair,245820,53062
Yamaha,MT-15,155,78,64795,1,Fair,142900,30296
Suzuki,Gixxer,155,49,51131,2,Fair,132900,37385
Honda,SP 125,124,12,14221,2,Excellent,127320,99824
Triumph,Speed 400,398,28,21632,2,Fair,311640,149551
Triumph,Speed 400,398,76,61300,1,Fair,311640,66540
Royal Enfield,Himalayan,452,1,1000,1,Good,261360,234560
Yamaha,FZ-FI,149,38,40840,3,Good,141820,56589
Hero,HF Deluxe,97,51,58910,2,Fair,97460,25421
TVS,Apache RTR 200 4V,197,13,8763,1,Excellent,125460,104218
Royal Enfield,Hunter 350,349,66,65389,2,Fair,242820,48332
Hero,HF Deluxe,97,22,19153,1,Excellent,97460,69257
Honda,Shine,123,52,39595,1,Fair,127140,35518
Yamaha,R15 V4,155,38,44584,1,Fair,142900,57199
Honda,Shine,123,41,35884,1,Good,127140,54977
TVS,Sport,109,7,4260,2,Good,109620,85233
Bajaj,Pulsar NS200,199,92,91004,2,Fair,135820,25621
Suzuki,Gixxer,155,82,57181,3,Fair,132900,24893
Yamaha,MT-15,155,59,29630,2,Fair,142900,30518
Suzuki,Gixxer,155,6,4574,2,Excellent,132900,114976
Suzuki,V-Strom SX,249,30,19022,1,Fair,149820,74081
Royal Enfield,Himalayan,452,66,49248,2,Fair,261360,53735
Yamaha,R15 V4,155,82,101381,1,Poor,142900,23831
Bajaj,Dominar 400,373,94,107371,2,Poor,167140,25856
Yamaha,R15 V4,155,2,1708,1,Good,142900,126527
Yamaha,R15 V4,155,64,43138,2,Fair,142900,29734
KTM,Duke 250,249,32,19537,1,Fair,254820,121159
KTM,RC 200,199,62,74098,1,Good,245820,58158
Hero,HF Deluxe,97,70,73733,1,Good,97460,23075
Royal Enfield,Hunter 350,349,49,47917,1,Good,242820,83185
Honda,SP 125,124,54,46804,1,Fair,127320,32832
KTM,Duke 200,199,31,35906,2,Fair,245820,108586
Honda,Hornet 2.0,184,60,52174,3,Fair,138120,26131
TVS,Radeon,109,62,46332,2,Fair,109620,22667
Royal Enfield,Meteor 350,349,82,51602,1,Fair,242820,52863
Hero,HF Deluxe,97,56,49071,1,Good,97460,26520
Yamaha,FZ-FI,149,71,81363,1,Good,141820,33046
Royal Enfield,Himalayan,452,88,66928,2,Fair,261360,51859
TVS,Sport,109,51,48463,1,Fair,109620,31057
Honda,Shine,123,37,24428,1,Good,127140,61499
BMW,G 310 R,313,24,26060,1,Excellent,406340,275742
TVS,Apache RTR 200 4V,197,52,29825,1,Good,125460,40622
KTM,RC 200,199,57,54481,2,Good,245820,59930
Royal Enfield,Himalayan,452,12,11347,3,Excellent,261360,190664
KTM,390 Duke,399,82,85540,1,Fair,281820,57222
Suzuki,Gixxer,155,27,18690,3,Fair,132900,60425
Royal Enfield,Meteor 350,349,24,18674,4,Excellent,242820,130319
KTM,RC 200,199,7,8336,2,Good,245820,189721
Bajaj,Pulsar NS200,199,57,42508,1,Fair,135820,31708
Yamaha,FZ-FI,149,88,63448,1,Poor,141820,25627
Honda,Shine,123,1,1000,1,Excellent,127140,125388
KTM,Duke 200,199,73,78273,2,Poor,245820,40497
Royal Enfield,Meteor 350,349,94,60368,3,Poor,242820,38412
Honda,SP 125,124,23,19653,3,Good,127320,70397
KTM,Duke 200,199,95,52032,3,Fair,245820,46520
Bajaj,Pulsar NS200,199,49,40219,2,Fair,135820,39033
Triumph,Speed 400,398,33,16863,1,Good,311640,166090
Honda,Hornet 2.0,184,8,5734,4,Excellent,138120,96385
KTM,Duke 250,249,68,36372,1,Fair,254820,57152
Bajaj,Pulsar 125,125,76,52975,1,Fair,122500,26596
Honda,SP 125,124,75,41707,2,Fair,127320,26567
TVS,Apache RTR 160,159,4,3616,1,Excellent,118620,112191
Bajaj,Pulsar 125,125,35,21951,1,Good,122500,62100
Royal Enfield,Hunter 350,349,79,52394,1,Poor,242820,44863
Royal Enfield,Classic 350,349,10,7570,2,Excellent,242820,198123
Honda,Hornet 2.0,184,8,4423,2,Excellent,138120,116434
Royal Enfield,Meteor 350,349,50,60211,1,Fair,242820,69281
Royal Enfield,Hunter 350,349,11,8761,1,Good,242820,188774
Royal Enfield,Meteor 350,349,84,85535,2,Poor,242820,39394
Royal Enfield,Hunter 350,349,6,6275,4,Excellent,242820,173777
Royal Enfield,Classic 350,349,46,32674,1,Fair,242820,81908
Triumph,Speed 400,398,8,7386,2,Excellent,311640,261298
TVS,Radeon,109,35,37474,2,Good,109620,50717
TVS,Sport,109,41,42857,1,Good,109620,46765
Hero,Passion Pro,110,45,25167,2,Good,99800,37490
Hero,HF Deluxe,97,40,35880,2,Good,97460,40551
Yamaha,MT-15,155,9,6414,1,Excellent,142900,125995
Yamaha,R15 V4,155,24,28842,1,Excellent,142900,96462
Royal Enfield,Hunter 350,349,3,2868,3,Good,242820,184363
BMW,G 310 R,313,77,68913,1,Fair,406340,85424
Bajaj,Pulsar NS200,199,90,57504,1,Fair,135820,29222
Hero,Passion Pro,110,18,20092,2,Excellent,99800,70888
Bajaj,Pulsar 125,125,69,80510,1,Good,122500,28596
Honda,Shine,123,79,67268,1,Poor,127140,22796
Royal Enfield,Classic 350,349,76,67048,4,Fair,242820,39969
Bajaj,Dominar 400,373,52,51866,3,Good,167140,45109
Yamaha,FZ-FI,149,73,44953,2,Fair,141820,29405
BMW,G 310 R,313,85,46060,3,Poor,406340,66138
TVS,Sport,109,60,53688,1,Fair,109620,23766
KTM,RC 200,199,21,23962,1,Excellent,245820,175942
TVS,Sport,109,95,113722,2,Fair,109620,19667
BMW,G 310 R,313,42,41065,1,Good,406340,169848
Bajaj,Dominar 400,373,42,48991,1,Fair,167140,60472
Bajaj,Pulsar 125,125,43,29513,2,Good,122500,48022
Triumph,Speed 400,398,30,17789,2,Fair,311640,145183
KTM,390 Duke,399,11,9240,2,Excellent,281820,226118
Royal Enfield,Hunter 350,349,39,37669,3,Excellent,242820,104766
Royal Enfield,Hunter 350,349,89,80384,2,Fair,242820,46853
KTM,Duke 200,199,56,33633,1,Fair,245820,60598
Suzuki,V-Strom SX,249,9,8524,1,Excellent,149820,131588
Hero,Splendor Plus,97,45,25050,1,Good,97460,38957
TVS,Apache RTR 160,159,26,21842,2,Excellent,118620,73697
Honda,Hornet 2.0,184,77,39269,2,Poor,138120,24613
TVS,Apache RTR 200 4V,197,64,68253,1,Good,125460,30042
Suzuki,Gixxer,155,55,28495,1,Fair,132900,34294
Suzuki,V-Strom SX,249,83,67129,3,Fair,149820,27502
Royal Enfield,Classic 350,349,87,55702,1,Fair,242820,52433
TVS,Apache RTR 200 4V,197,82,86992,3,Poor,125460,18780
Bajaj,Pulsar 125,125,12,13644,2,Good,122500,87494
Yamaha,MT-15,155,69,40295,2,Good,142900,34011
TVS,Apache RTR 160,159,80,73295,2,Fair,118620,23230
KTM,RC 200,199,23,15555,1,Excellent,245820,172990
Bajaj,Pulsar 150,149,44,37153,1,Fair,126820,44684
TVS,Apache RTR 200 4V,197,90,71488,1,Poor,125460,22300
Yamaha,FZ-FI,149,61,60656,1,Fair,141820,30320
Hero,Splendor Plus,97,29,35501,1,Good,97460,54129
KTM,Duke 250,249,67,79460,1,Fair,254820,52409
Hero,HF Deluxe,97,19,14111,1,Excellent,97460,73328
Honda,Hornet 2.0,184,37,40252,1,Good,138120,64819
Honda,SP 125,124,43,25382,1,Excellent,127320,58807
Bajaj,Pulsar 125,125,19,14472,1,Good,122500,83816
KTM,Duke 250,249,89,91558,2,Fair,254820,48013
TVS,Apache RTR 160,159,68,61548,4,Fair,118620,19745
Royal Enfield,Meteor 350,349,77,47408,3,Fair,242820,46374
Hero,HF Deluxe,97,16,12707,1,Good,97460,70021
KTM,Duke 200,199,38,38906,1,Excellent,245820,124361
Royal Enfield,Meteor 350,349,47,58097,1,Excellent,242820,94798
TVS,Sport,109,40,45909,2,Good,109620,44730
Royal Enfield,Hunter 350,349,31,23756,2,Fair,242820,109769
Honda,SP 125,124,32,31465,1,Fair,127320,59189
Suzuki,V-Strom SX,249,62,51268,1,Fair,149820,32638
TVS,Apache RTR 160,159,36,29567,2,Excellent,118620,59962
Honda,Shine,123,90,97909,1,Fair,127140,25135
Suzuki,Gixxer,155,25,24896,1,Good,132900,80863
Honda,Hornet 2.0,184,20,24922,1,Good,138120,91238
Royal Enfield,Himalayan,452,17,19808,2,Excellent,261360,188587
KTM,Duke 200,199,36,38556,2,Excellent,245820,122139
Hero,HF Deluxe,97,77,77593,3,Fair,97460,17507
KTM,Duke 250,249,24,12092,1,Excellent,254820,177482
Yamaha,MT-15,155,28,15112,1,Good,142900,83997
Honda,Shine,123,2,2028,1,Excellent,127140,123635
BMW,G 310 R,313,12,12121,2,Excellent,406340,319823
Hero,Splendor Plus,97,85,80657,3,Poor,97460,15000
Honda,Shine,123,74,78237,2,Fair,127140,24643
BMW,G 310 R,313,23,20584,1,Good,406340,257793
TVS,Apache RTR 200 4V,197,14,15237,1,Good,125460,92383
KTM,RC 200,199,75,78507,1,Fair,245820,50659
Bajaj,Dominar 400,373,33,17722,1,Good,167140,88936
Royal Enfield,Hunter 350,349,82,48562,3,Fair,242820,46268
KTM,RC 200,199,94,87943,3,Fair,245820,43202
BMW,G 310 R,313,63,40156,1,Fair,406340,90472
Bajaj,Pulsar 125,125,30,30850,1,Good,122500,67382
Hero,Passion Pro,110,31,37505,2,Excellent,99800,54936
Hero,HF Deluxe,97,93,72445,1,Poor,97460,17289
Yamaha,FZ-FI,149,3,2313,3,Good,141820,107786
Honda,Shine,123,85,89676,1,Poor,127140,21749
Hero,Splendor Plus,97,30,32440,2,Excellent,97460,55208
Suzuki,Gixxer,155,19,22630,1,Excellent,132900,98419
Yamaha,FZ-FI,149,63,40998,2,Good,141820,33708
KTM,Duke 200,199,30,37219,2,Good,245820,125559
Royal Enfield,Meteor 350,349,27,20203,1,Excellent,242820,158177
Honda,Hornet 2.0,184,40,49912,1,Good,138120,59486
Royal Enfield,Meteor 350,349,60,37497,1,Good,242820,61815
Bajaj,Pulsar 150,149,75,85986,1,Poor,126820,21867
KTM,390 Duke,399,47,50944,4,Good,281820,79218
Bajaj,Pulsar 125,125,40,49523,2,Excellent,122500,54540
Hero,Passion Pro,110,81,64982,2,Fair,99800,19881
Suzuki,V-Strom SX,249,43,23187,2,Good,149820,59438
Yamaha,R15 V4,155,25,24275,1,Good,142900,87049
Bajaj,Pulsar NS200,199,51,32223,3,Fair,135820,34550
Yamaha,R15 V4,155,10,9860,1,Excellent,142900,123520
Bajaj,Dominar 400,373,5,5224,2,Excellent,167140,146296
Yamaha,R15 V4,155,96,54771,2,Poor,142900,24700
KTM,Duke 200,199,60,47787,1,Fair,245820,53922
Bajaj,Pulsar 150,149,59,31415,1,Fair,126820,28715
KTM,RC 200,199,43,30978,1,Excellent,245820,112342
KTM,Duke 200,199,27,20159,2,Excellent,245820,150535
Bajaj,Pulsar 125,125,57,43309,1,Fair,122500,28553
TVS,Apache RTR 200 4V,197,49,54785,2,Good,125460,39855
BMW,G 310 R,313,56,50478,1,Fair,406340,96935
Royal Enfield,Hunter 350,349,39,23014,2,Good,242820,105923
Royal Enfield,Hunter 350,349,22,21945,2,Excellent,242820,161356
Bajaj,Pulsar 125,125,23,15782,4,Excellent,122500,67213
Bajaj,Pulsar 150,149,55,37625,4,Fair,126820,25083
Royal Enfield,Classic 350,349,73,77632,1,Poor,242820,42613
Triumph,Speed 400,398,82,100381,3,Fair,311640,53313
Triumph,Speed 400,398,68,73806,1,Fair,311640,64857
KTM,RC 200,199,6,3392,1,Excellent,245820,226728
Honda,SP 125,124,25,26538,1,Good,127320,77228
Honda,SP 125,124,16,10854,1,Excellent,127320,100864
TVS,Apache RTR 160,159,50,38182,2,Good,118620,37797
TVS,Apache RTR 160,159,5,3539,1,Good,118620,100821
Honda,Hornet 2.0,184,31,29261,2,Good,138120,70288
Hero,HF Deluxe,97,9,9517,2,Excellent,97460,80318
TVS,Apache RTR 200 4V,197,11,13345,2,Good,125460,90914
Hero,HF Deluxe,97,13,11338,3,Excellent,97460,70102
KTM,Duke 200,199,70,37272,1,Good,245820,62606
KTM,Duke 250,249,89,90978,2,Fair,254820,48073
TVS,Radeon,109,55,46466,3,Fair,109620,23770
TVS,Apache RTR 160,159,94,77641,1,Fair,118620,24490
Yamaha,FZ-FI,149,48,45509,1,Good,141820,50237
KTM,Duke 200,199,66,57029,3,Good,245820,52391
Honda,Shine,123,55,61959,2,Good,127140,32852
Triumph,Speed 400,398,68,65957,1,Fair,311640,65913
Bajaj,Pulsar NS200,199,14,16943,1,Excellent,135820,109555
TVS,Apache RTR 160,159,37,44060,1,Good,118620,55257
Honda,SP 125,124,79,96240,4,Fair,127320,19705
TVS,Apache RTR 200 4V,197,49,35582,4,Fair,125460,30188
Triumph,Speed 400,398,33,32560,1,Good,311640,161250
Suzuki,Gixxer,155,29,29275,1,Good,132900,74697
BMW,G 310 R,313,43,49143,1,Good,406340,163137
Hero,Splendor Plus,97,76,77898,3,Poor,97460,15000
Hero,Passion Pro,110,58,34896,1,Fair,99800,22746
Hero,Passion Pro,110,64,54341,1,Good,99800,24580
Bajaj,Pulsar 150,149,21,13344,1,Excellent,126820,92582
KTM,Duke 250,249,4,3990,3,Good,254820,190678
KTM,Duke 250,249,22,18253,2,Excellent,254820,170502
Royal Enfield,Meteor 350,349,78,68542,1,Fair,242820,51086
Yamaha,FZ-FI,149,40,39546,2,Good,141820,58592
Bajaj,Dominar 400,373,64,40851,1,Good,167140,42274
Yamaha,R15 V4,155,44,28443,1,Fair,142900,51196
Hero,HF Deluxe,97,40,23411,2,Fair,97460,36504
KTM,Duke 200,199,48,39632,2,Good,245820,82796
Royal Enfield,Classic 350,349,34,24427,2,Fair,242820,103346
BMW,G 310 R,313,36,36659,1,Fair,406340,172457
Yamaha,R15 V4,155,68,67245,1,Fair,142900,30144
Bajaj,Pulsar 125,125,87,54711,1,Poor,122500,22528
Yamaha,FZ-FI,149,55,46439,3,Good,141820,34983
Honda,Shine,123,42,50948,2,Good,127140,48995
TVS,Radeon,109,33,33788,1,Excellent,109620,62183
Hero,HF Deluxe,97,91,97353,3,Fair,97460,16783
TVS,Apache RTR 160,159,94,68337,1,Poor,118620,21221
KTM,Duke 250,249,33,33515,1,Good,254820,131609
Honda,SP 125,124,83,102046,1,Fair,127320,24944
Suzuki,V-Strom SX,249,31,24961,3,Excellent,149820,78177
Honda,SP 125,124,71,35518,1,Fair,127320,28603
Yamaha,FZ-FI,149,3,2945,1,Excellent,141820,135989
Hero,HF Deluxe,97,68,67961,1,Fair,97460,20529
KTM,Duke 250,249,60,42503,1,Fair,254820,56477
Honda,Hornet 2.0,184,8,4957,2,Excellent,138120,116321
BMW,G 310 R,313,17,11142,1,Good,406340,288433
Yamaha,MT-15,155,90,48672,1,Fair,142900,31291
Bajaj,Dominar 400,373,81,96896,1,Fair,167140,33117
Suzuki,Gixxer,155,56,57813,1,Fair,132900,31243
Suzuki,V-Strom SX,249,84,67055,1,Fair,149820,31616
TVS,Apache RTR 160,159,73,83860,2,Poor,118620,19313
Suzuki,Gixxer,155,77,66817,2,Fair,132900,26376
Honda,Hornet 2.0,184,34,24228,1,Fair,138120,62560
TVS,Apache RTR 160,159,50,43242,3,Fair,118620,30453
KTM,RC 200,199,29,32448,1,Fair,245820,120730
Hero,Passion Pro,110,75,69409,2,Fair,99800,19701
TVS,Radeon,109,35,28536,1,Fair,109620,48251
Hero,HF Deluxe,97,1,1016,2,Excellent,97460,90347
KTM,390 Duke,399,49,53361,2,Fair,281820,78928
Royal Enfield,Himalayan,452,11,7949,1,Excellent,261360,223614
Bajaj,Pulsar 125,125,69,56934,1,Good,122500,30015
Triumph,Speed 400,398,85,74881,1,Poor,311640,55005
KTM,Duke 200,199,55,38710,1,Good,245820,70757
TVS,Apache RTR 200 4V,197,91,57544,3,Fair,125460,23482
TVS,Sport,109,3,3685,2,Good,109620,89793
Triumph,Speed 400,398,3,3318,2,Excellent,311640,280709
Bajaj,Pulsar 150,149,51,54789,1,Fair,126820,35482
Honda,SP 125,124,54,57942,2,Fair,127320,30187
Yamaha,MT-15,155,34,31096,2,Good,142900,68313
Bajaj,Dominar 400,373,2,1792,2,Excellent,167140,152846
Honda,Shine,123,56,50519,3,Fair,127140,26385
BMW,G 310 R,313,92,57683,1,Fair,406340,87395
Yamaha,FZ-FI,149,1,1000,3,Excellent,141820,121683
KTM,Duke 200,199,82,59243,1,Poor,245820,44799
Yamaha,MT-15,155,63,70324,2,Fair,142900,28157
Yamaha,FZ-FI,149,77,62652,2,Poor,141820,24128
Royal Enfield,Classic 350,349,38,19184,2,Good,242820,109091
Yamaha,R15 V4,155,25,27282,1,Fair,142900,76094
TVS,Sport,109,25,12742,2,Fair,109620,56380
Royal Enfield,Meteor 350,349,62,48830,2,Good,242820,56835
Honda,Shine,123,30,23234,1,Good,127140,70949
Hero,Splendor Plus,97,35,33836,1,Fair,97460,42467
KTM,Duke 250,249,16,17786,1,Excellent,254820,199302
KTM,Duke 250,249,69,62910,3,Fair,254820,47181
Royal Enfield,Meteor 350,349,8,9641,2,Excellent,242820,202757
TVS,Radeon,109,89,99567,2,Fair,109620,20298
Honda,SP 125,124,12,7354,1,Good,127320,97864
TVS,Apache RTR 200 4V,197,60,52373,1,Fair,125460,27271
Bajaj,Pulsar NS200,199,84,87466,2,Fair,135820,25816
KTM,Duke 200,199,55,48927,1,Fair,245820,60974
Hero,HF Deluxe,97,18,11605,4,Good,97460,53101
Honda,Shine,123,13,7036,1,Excellent,127140,105947
